year,agency,litigation_cost,processing_cost,total_cost,total_staff,pending_end_year,pending_start_year,processed_year,received_year,duplicate_request,fee_related,full_denial,full_grants,improper_request_other_reason,not_agency_record,no_records,other,partially_granted,records_not_described,referred_to_other_agency,withdrawn,exemption_1,exemption_2,exemption_3,exemption_4,exemption_5,exemption_6,exemption_7a,exemption_7b,exemption_7c,exemption_7d,exemption_7e,exemption_7f,exemption_8,exemption_9,general_complex_average,general_complex_high,general_complex_low,general_complex_median,general_expedited_average,general_expedited_high,general_expedited_low,general_expedited_median,general_simple_average,general_simple_high,general_simple_low,general_simple_median,granted_complex_average,granted_complex_high,granted_complex_low,granted_complex_median,granted_expedited_average,granted_expedited_high,granted_expedited_low,granted_expedited_median,granted_simple_average,granted_simple_high,granted_simple_low,granted_simple_median
2019,CIGIE,46328.45,55951.68,102280.13,1.00,82,52,41,71,0,0,3,6,0,0,11,10,7,3,1,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,249,857,31,224,N/A,N/A,N/A,N/A,72,200,4,34.5,215,289,167,206.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,CIGIE,8428.00,146610.00,155038.00,1.00,77,82,80,75,2,0,3,6,7,0,12,10,32,3,1,4,0,6,5,0,15,31,0,0,11,0,0,0,0,0,343,1179,1,219,N/A,N/A,N/A,N/A,26,181,1,7,388.5,1179,2,271.5,N/A,N/A,N/A,N/A,12,21,1,15
2021,CIGIE,46133.78,406300.00,452433.78,1.25,40,71,109,78,1,0,12,2,3,1,19,4,44,9,3,11,0,15,3,6,26,47,2,0,29,0,2,0,0,0,285,1106,1,36,1,1,1,1,3,20,0,2,376,1106,1,370,1,1,1,1,2.33,4,1,2
2022,CIGIE,17060.00,211300.00,228360.00,1.25,34,40,83,77,0,0,6,6,7,0,13,8,33,1,2,7,0,10,2,4,23,36,1,0,24,0,1,0,0,0,268,832,<1,46,N/A,N/A,N/A,N/A,1,9,<1,2,235,832,<1,41,N/A,N/A,N/A,N/A,1,1,1,1
2023,CIGIE,45236.10,231158.76,276394.86,1.25,56,34,108,130,4,0,7,6,9,0,32,3,25,17,2,3,0,2,2,0,18,31,3,0,21,0,0,0,0,0,199.75,1381,29,116,N/A,N/A,N/A,N/A,4.88,50,1,1,188.72,770,32,92,N/A,N/A,N/A,N/A,4.4,50,1,1
2024,CIGIE,92398.72,238090.28,330489.00,1.25,163,56,100,207,4,0,0,8,32,0,50,0,0,6,0,0,0,0,0,0,4,7,0,0,7,0,0,0,0,0,103.67,199,4,102,N/A,0,0,N/A,6.75,162,1,3,104.75,186,29,102,N/A,0,0,N/A,59.33,162,2,14
2008,CNCS,0.00,1034.00,1034.00,1.00,N/A,N/A,47,47,0,0,0,40,0,0,1,0,5,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,20,1,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,20,1,7
2009,CNCS,0.00,1040.00,1040.00,1.00,8,N/A,63,71,0,0,1,36,1,0,9,0,11,0,0,5,0,0,0,0,6,5,0,0,3,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.72,40,1,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.1,40,1,6
2010,CNCS,1748.25,1040.40,2788.65,1.00,4,7,72,69,0,0,1,42,0,0,12,0,11,0,0,6,0,0,0,2,2,7,0,0,0,0,0,0,0,0,40.3,147,17,17,18,18,18,18,20,82,<1,17,30.3,95,17,17,18,18,18,18,20,77,<1,16
2011,CNCS,0.00,2865.59,2865.59,1.50,4,4,69,69,0,2,0,34,0,5,1,0,25,1,0,1,0,1,2,2,2,17,2,1,1,0,0,0,0,0,29,125,8,22,16,33,6,8,18,77,3,16,29,125,8,22,16,6,8,8,18,77,3,14
2012,CNCS,0.00,1575.00,1575.00,0.70,16,4,43,55,0,0,1,31,0,0,2,0,6,1,0,2,0,0,0,0,2,5,2,0,1,0,0,0,0,0,75,150,5,90,20,30,9,22,29,101,1,23,70,150,19,92,20,30,9,22,29,101,1,23
2013,CNCS,0.00,71154.75,71154.75,1.15,6,19,59,46,0,0,0,23,0,0,6,0,28,0,0,2,0,0,0,2,12,16,0,0,0,0,0,0,0,0,174,422,24,105.5,199,380,4,281,45,280,<1,22,153,379,24,104,192,380,4,279,47,280,<1,21
2014,CNCS,0.00,71154.75,71154.75,1.15,8,6,66,68,0,0,0,26,0,2,11,0,21,0,0,6,0,0,0,2,5,12,0,0,2,0,0,0,0,0,60.8,497,<1,22,4,4,4,4,9.6,53,<1,7,86.3,497,4,32,N/A,N/A,N/A,N/A,10.4,53,1,7.5
2015,CNCS,0.00,55686.00,55686.00,0.90,7,8,48,47,0,0,1,17,0,0,6,0,19,1,0,4,0,0,1,3,8,12,0,0,0,0,0,0,0,0,104,505,3,39,N/A,N/A,N/A,N/A,8,40,<1,3,114,505,5,60,N/A,N/A,N/A,N/A,10,40,<1,4
2016,CNCS,0.00,63000.00,63000.00,0.90,3,7,53,49,0,0,1,23,0,0,10,0,15,0,0,4,0,0,1,0,5,9,1,0,3,0,0,0,0,0,48.7,170,1,35.5,N/A,N/A,N/A,N/A,7,21,<1,7,58.2,170,21,34,N/A,N/A,N/A,N/A,7.4,21,<1,3
2017,CNCS,0.00,75732.00,75732.00,0.90,2,3,54,53,0,0,0,15,0,2,7,0,24,0,0,6,0,0,1,0,7,17,0,0,6,0,0,5,0,0,34,49,4,36,11,18,1,2,9,57,<1,3,40,49,29,40,10,18,2,10,11,57,<1,2
2018,CNCS,0.00,22500.00,22500.00,0.25,4,2,51,53,0,0,2,15,0,0,9,0,22,1,0,2,0,1,0,0,6,18,2,0,2,0,0,2,0,0,18.6,40,7,12,6,10,1,7,15,70,<1,10.5,22.2,40,7,15.5,8.5,10,7,8.5,15.9,70,<1,15
2019,CNCS,0.00,35600.00,35600.00,0.43,8,4,51,55,0,0,4,19,0,0,6,0,20,1,0,1,0,1,1,2,7,15,1,0,1,0,0,1,0,0,150.7,310,21,71,2,2,2,2,15.6,61,<1,13,96.8,310,21,72.5,2,2,2,2,16.4,48,<1,15.5
2020,CNCS,0.00,36310.00,36310.00,0.43,5,8,46,43,0,0,2,10,0,4,9,0,14,1,0,6,0,0,0,3,3,11,3,0,2,0,0,1,0,0,51.2,154,2,33.5,19,19,19,19,12.6,48,<1,8,75.2,154,29,64.5,19,19,19,19,16.8,48,1,16
2021,CNCS,0.00,37246.00,37246.00,0.40,6,5,46,47,0,0,3,12,0,0,4,0,23,0,0,4,0,0,1,2,5,15,5,0,11,2,0,1,0,0,104.3,248,2,38.5,187,187,187,187,34.1,195,<1,18,125.5,248,12,99.5,187,187,187,187,40.2,195,<1,21
2022,CNCS,0.00,19400.00,19400.00,0.22,6,10,48,44,0,0,1,17,0,0,3,4,20,0,0,3,0,0,0,7,7,14,3,0,5,0,0,1,0,0,131.5,398,<1,49,N/A,N/A,N/A,N/A,34.7,303,<1,16,144,398,20,65,N/A,N/A,N/A,N/A,37.5,303,<1,17.5
2023,CNCS,0.00,19982.00,19982.00,0.22,15,6,49,58,0,0,6,9,0,1,2,0,28,0,0,3,0,1,4,5,9,26,1,0,5,0,1,2,0,0,42,101,1,44.5,N/A,N/A,N/A,N/A,27,172,<1,19,54,101,18,51,N/A,N/A,N/A,N/A,31,172,<1,19
2024,CNCS,0.00,28500.00,28500.00,0.30,38,15,75,98,3,0,4,18,4,0,14,8,17,0,0,7,0,0,0,1,5,11,3,0,2,0,3,2,0,0,78,354,<1,48,N/A,N/A,N/A,N/A,28,316,<1,6,89,354,21,47,N/A,N/A,N/A,N/A,57,316,<1,8
2008,CO,0.00,71000.00,71000.00,0.51,10,2,46,54,0,1,0,13,0,0,2,26,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,194,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29,194,1,18
2009,CO,0.00,100416.00,100416.00,0.68,9,10,32,31,0,8,0,8,0,9,1,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106,376,2,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,162,5,16
2010,CO,0.00,128834.00,128834.00,0.81,1,9,44,36,0,9,0,10,0,19,3,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.3,243,1,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.7,243,3,17.5
2011,CO,0.00,139940.00,139940.00,0.89,5,1,40,44,0,6,0,9,0,1,8,2,8,1,1,4,0,0,3,0,4,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.8,50,1,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.5,50,1,21
2012,CO,0.00,126237.00,126237.00,0.75,3,4,38,37,0,3,0,13,0,3,5,0,4,3,5,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.6,153,N/A,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.7,153,2,17
2013,CO,0.00,9646.60,9646.60,0.08,3,4,36,35,0,1,2,12,0,2,7,0,3,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.4,94,1,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.5,34,2,6
2014,CO,0.00,9792.23,9792.23,0.07,3,3,43,43,1,0,0,7,10,4,6,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.8,542,1,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.7,59,8,17
2015,CO,0.00,24230.61,24230.61,0.17,5,3,34,36,0,0,0,9,0,1,6,0,2,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.9,93,3,12.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,43,3,19
2016,CO,0.00,4618.36,4618.36,0.03,1,5,27,23,2,3,1,10,1,0,5,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.6,68,1,12.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,68,2,25
2017,CO,0.00,36467.76,36467.76,0.20,9,1,35,43,0,0,1,8,2,3,6,0,3,0,11,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,48,2,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.4,37,4,11
2018,CO,0.00,16478.60,16478.60,0.08,6,9,44,41,0,0,2,12,0,4,2,0,7,1,15,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,126,288,<1,182,4,4,4,4,10.7,25,4,10,143.3,288,<1,157.5,N/A,N/A,N/A,N/A,11.5,25,4,11
